image,style_id,baseline_edge_ssim,improved_edge_ssim,edge_ssim_delta,baseline_artifact_score,improved_artifact_score,artifact_score_delta,baseline_latency_ms,improved_latency_ms,latency_delta_ms
000000000139.jpg,hayao,0.3135,0.3269,0.0134,0.0394,0.0509,0.0115,484,706,222
000000000139.jpg,paprika,0.3643,0.3463,-0.018,0.033,0.0431,0.0101,697,759,62
000000000139.jpg,shinkai,0.0631,0.0662,0.0031,0.0181,0.0306,0.0125,1671,914,-757
000000000285.jpg,hayao,0.1324,0.1836,0.0512,0.0571,0.0664,0.0093,311,1213,902
000000000285.jpg,paprika,0.1601,0.2093,0.0492,0.0498,0.0654,0.0156,1097,1798,701
000000000285.jpg,shinkai,0.0283,0.0674,0.0391,0.0179,0.042,0.0241,1406,1255,-151
000000000632.jpg,hayao,0.1848,0.248,0.0632,0.0489,0.0541,0.0052,560,1115,555
000000000632.jpg,paprika,0.2048,0.2606,0.0558,0.0428,0.0504,0.0076,645,1449,804
000000000632.jpg,shinkai,0.0445,0.076,0.0315,0.0194,0.0331,0.0137,1018,4961,3943
000000000724.jpg,hayao,0.2663,0.3003,0.034,0.0579,0.0593,0.0014,817,1072,255
000000000724.jpg,paprika,0.2801,0.3091,0.029,0.0435,0.0469,0.0034,275,639,364
000000000724.jpg,shinkai,0.084,0.1046,0.0206,0.0208,0.0321,0.0113,1342,1507,165
000000000776.jpg,hayao,0.1801,0.2349,0.0548,0.0665,0.0914,0.0249,1083,1631,548
000000000776.jpg,paprika,0.2305,0.2955,0.065,0.0505,0.0759,0.0254,358,1173,815
000000000776.jpg,shinkai,0.0456,0.0673,0.0217,0.0242,0.0459,0.0217,1655,2633,978
000000000785.jpg,hayao,0.4726,0.4958,0.0232,0.0317,0.0295,-0.0022,902,1463,561
000000000785.jpg,paprika,0.3393,0.2975,-0.0418,0.027,0.0281,0.0011,373,1123,750
000000000785.jpg,shinkai,0.215,0.2421,0.0271,0.0109,0.0153,0.0044,1586,2566,980
000000000802.jpg,hayao,0.6078,0.6134,0.0056,0.0396,0.0398,0.0002,931,1537,606
000000000802.jpg,paprika,0.5674,0.5883,0.0209,0.0231,0.0244,0.0013,571,788,217
000000000802.jpg,shinkai,0.0749,0.0907,0.0158,0.0148,0.0197,0.0049,1537,2840,1303
000000000872.jpg,hayao,0.2383,0.3162,0.0779,0.055,0.0616,0.0066,1282,2483,1201
000000000872.jpg,paprika,0.2874,0.3436,0.0562,0.0509,0.0587,0.0078,497,1759,1262
000000000872.jpg,shinkai,0.0498,0.0902,0.0404,0.0192,0.0385,0.0193,2487,4303,1816
000000000885.jpg,hayao,0.4009,0.3802,-0.0207,0.0306,0.0369,0.0063,1165,1588,423
000000000885.jpg,paprika,0.4131,0.3964,-0.0167,0.0208,0.0281,0.0073,407,1243,836
000000000885.jpg,shinkai,0.144,0.1486,0.0046,0.0137,0.0208,0.0071,1648,2604,956
000000001000.jpg,hayao,0.3036,0.3359,0.0323,0.0738,0.0818,0.008,1071,1875,804
000000001000.jpg,paprika,0.4033,0.4078,0.0045,0.059,0.0735,0.0145,449,1342,893
000000001000.jpg,shinkai,0.0476,0.0805,0.0329,0.023,0.0424,0.0194,1676,2953,1277
000000001268.jpg,hayao,0.209,0.3044,0.0954,0.0402,0.0424,0.0022,924,1622,698
000000001268.jpg,paprika,0.2062,0.2795,0.0733,0.0307,0.0334,0.0027,396,1005,609
000000001268.jpg,shinkai,0.0313,0.0619,0.0306,0.0175,0.0255,0.008,1758,2435,677
