image,style_id,baseline_edge_ssim,improved_edge_ssim,edge_ssim_delta,baseline_artifact_score,improved_artifact_score,artifact_score_delta,baseline_latency_ms,improved_latency_ms,latency_delta_ms
000000000139.jpg,hayao,0.3135,0.3201,0.0066,0.0394,0.0609,0.0215,483,802,319
000000000139.jpg,paprika,0.3643,0.3212,-0.0431,0.033,0.056,0.023,523,726,203
000000000139.jpg,shinkai,0.0631,0.0696,0.0065,0.0181,0.0404,0.0223,179,576,397
000000000285.jpg,hayao,0.1324,0.1902,0.0578,0.0571,0.0834,0.0263,352,915,563
000000000285.jpg,paprika,0.1601,0.1934,0.0333,0.0498,0.0875,0.0377,745,988,243
000000000285.jpg,shinkai,0.0283,0.0773,0.049,0.0179,0.0571,0.0392,285,868,583
000000000632.jpg,hayao,0.1848,0.2526,0.0678,0.0489,0.0666,0.0177,295,752,457
000000000632.jpg,paprika,0.2048,0.2622,0.0574,0.0428,0.0626,0.0198,561,801,240
000000000632.jpg,shinkai,0.0445,0.0807,0.0362,0.0194,0.0436,0.0242,209,689,480
000000000724.jpg,hayao,0.2663,0.2979,0.0316,0.0579,0.0718,0.0139,195,435,240
000000000724.jpg,paprika,0.2801,0.3002,0.0201,0.0435,0.0585,0.015,468,548,80
000000000724.jpg,shinkai,0.084,0.1082,0.0242,0.0208,0.041,0.0202,147,400,253
000000000776.jpg,hayao,0.1801,0.2271,0.047,0.0665,0.1115,0.045,283,688,405
000000000776.jpg,paprika,0.2305,0.2817,0.0512,0.0505,0.095,0.0445,576,745,169
000000000776.jpg,shinkai,0.0456,0.069,0.0234,0.0242,0.0625,0.0383,194,617,423
000000000785.jpg,hayao,0.4726,0.4768,0.0042,0.0317,0.0355,0.0038,244,642,398
000000000785.jpg,paprika,0.3393,0.2719,-0.0674,0.027,0.0331,0.0061,516,725,209
000000000785.jpg,shinkai,0.215,0.2562,0.0412,0.0109,0.02,0.0091,278,571,293
000000000802.jpg,hayao,0.6078,0.5623,-0.0455,0.0396,0.0482,0.0086,244,638,394
000000000802.jpg,paprika,0.5674,0.5586,-0.0088,0.0231,0.03,0.0069,529,682,153
000000000802.jpg,shinkai,0.0749,0.1023,0.0274,0.0148,0.0257,0.0109,194,536,342
000000000872.jpg,hayao,0.2383,0.2974,0.0591,0.055,0.0745,0.0195,371,989,618
000000000872.jpg,paprika,0.2874,0.3191,0.0317,0.0509,0.073,0.0221,812,1013,201
000000000872.jpg,shinkai,0.0498,0.0934,0.0436,0.0192,0.0492,0.03,282,872,590
000000000885.jpg,hayao,0.4009,0.3601,-0.0408,0.0306,0.0439,0.0133,239,610,371
000000000885.jpg,paprika,0.4131,0.3818,-0.0313,0.0208,0.0338,0.013,495,737,242
000000000885.jpg,shinkai,0.144,0.1653,0.0213,0.0137,0.0259,0.0122,174,628,454
000000001000.jpg,hayao,0.3036,0.3358,0.0322,0.0738,0.0962,0.0224,282,759,477
000000001000.jpg,paprika,0.4033,0.373,-0.0303,0.059,0.0886,0.0296,575,827,252
000000001000.jpg,shinkai,0.0476,0.0849,0.0373,0.023,0.0551,0.0321,213,702,489
000000001268.jpg,hayao,0.209,0.2971,0.0881,0.0402,0.052,0.0118,238,589,351
000000001268.jpg,paprika,0.2062,0.2818,0.0756,0.0307,0.0428,0.0121,531,663,132
000000001268.jpg,shinkai,0.0313,0.0722,0.0409,0.0175,0.0331,0.0156,284,614,330
000000001296.jpg,hayao,0.2403,0.2402,-0.0001,0.0395,0.0598,0.0203,245,674,429
000000001296.jpg,paprika,0.2149,0.2024,-0.0125,0.0271,0.0489,0.0218,523,768,245
000000001296.jpg,shinkai,0.1184,0.1125,-0.0059,0.0172,0.0419,0.0247,188,616,428
000000001353.jpg,hayao,0.3755,0.3615,-0.014,0.0257,0.0448,0.0191,192,407,215
000000001353.jpg,paprika,0.3216,0.3034,-0.0182,0.0188,0.0367,0.0179,270,581,311
000000001353.jpg,shinkai,0.1536,0.1252,-0.0284,0.0135,0.0341,0.0206,258,533,275
000000001425.jpg,hayao,0.4523,0.4823,0.03,0.0307,0.042,0.0113,398,645,247
000000001425.jpg,paprika,0.2733,0.2597,-0.0136,0.0242,0.0344,0.0102,590,768,178
000000001425.jpg,shinkai,0.1295,0.162,0.0325,0.0102,0.0256,0.0154,231,596,365
000000001490.jpg,hayao,0.0627,0.0814,0.0187,0.0586,0.073,0.0144,229,380,151
000000001490.jpg,paprika,0.0546,0.0893,0.0347,0.0432,0.0608,0.0176,384,557,173
000000001490.jpg,shinkai,0.0026,0.0093,0.0067,0.0161,0.0346,0.0185,256,610,354
000000001503.jpg,hayao,0.4909,0.5355,0.0446,0.0565,0.0673,0.0108,139,165,26
000000001503.jpg,paprika,0.4737,0.4676,-0.0061,0.042,0.0519,0.0099,156,340,184
