image,style_id,baseline_edge_ssim,improved_edge_ssim,edge_ssim_delta,baseline_artifact_score,improved_artifact_score,artifact_score_delta,baseline_latency_ms,improved_latency_ms,latency_delta_ms
000000000139.jpg,hayao,0.3135,0.3319,0.0184,0.0394,0.051,0.0116,257,757,500
000000000139.jpg,paprika,0.3643,0.349,-0.0153,0.033,0.043,0.01,527,785,258
000000000139.jpg,shinkai,0.0631,0.0616,-0.0015,0.0181,0.0306,0.0125,6160,906,-5254
000000000285.jpg,hayao,0.1324,0.1851,0.0527,0.0571,0.0667,0.0096,405,1131,726
000000000285.jpg,paprika,0.1601,0.2051,0.045,0.0498,0.0674,0.0176,800,1167,367
000000000285.jpg,shinkai,0.0283,0.065,0.0367,0.0179,0.0422,0.0243,262,975,713
000000000632.jpg,hayao,0.1848,0.2509,0.0661,0.0489,0.0549,0.006,285,886,601
000000000632.jpg,paprika,0.2048,0.2629,0.0581,0.0428,0.0503,0.0075,551,954,403
000000000632.jpg,shinkai,0.0445,0.0683,0.0238,0.0194,0.0333,0.0139,221,802,581
000000000724.jpg,hayao,0.2663,0.303,0.0367,0.0579,0.0595,0.0016,212,526,314
000000000724.jpg,paprika,0.2801,0.2969,0.0168,0.0435,0.0472,0.0037,266,707,441
000000000724.jpg,shinkai,0.084,0.105,0.021,0.0208,0.0315,0.0107,132,474,342
000000000776.jpg,hayao,0.1801,0.2348,0.0547,0.0665,0.0913,0.0248,267,698,431
000000000776.jpg,paprika,0.2305,0.2977,0.0672,0.0505,0.0758,0.0253,543,843,300
000000000776.jpg,shinkai,0.0456,0.0668,0.0212,0.0242,0.0462,0.022,193,696,503
000000000785.jpg,hayao,0.4726,0.4917,0.0191,0.0317,0.0292,-0.0025,237,778,541
000000000785.jpg,paprika,0.3393,0.3018,-0.0375,0.027,0.0283,0.0013,520,830,310
000000000785.jpg,shinkai,0.215,0.2503,0.0353,0.0109,0.0156,0.0047,183,715,532
000000000802.jpg,hayao,0.6078,0.6097,0.0019,0.0396,0.0394,-0.0002,249,729,480
000000000802.jpg,paprika,0.5674,0.5793,0.0119,0.0231,0.0247,0.0016,534,794,260
000000000802.jpg,shinkai,0.0749,0.1,0.0251,0.0148,0.0201,0.0053,189,678,489
000000000872.jpg,hayao,0.2383,0.3136,0.0753,0.055,0.062,0.007,362,1183,821
000000000872.jpg,paprika,0.2874,0.3457,0.0583,0.0509,0.0589,0.008,768,1251,483
000000000872.jpg,shinkai,0.0498,0.0902,0.0404,0.0192,0.0385,0.0193,279,1017,738
000000000885.jpg,hayao,0.4009,0.3821,-0.0188,0.0306,0.0373,0.0067,240,721,481
000000000885.jpg,paprika,0.4131,0.3925,-0.0206,0.0208,0.0282,0.0074,524,832,308
000000000885.jpg,shinkai,0.144,0.1512,0.0072,0.0137,0.0207,0.007,291,784,493
000000001000.jpg,hayao,0.3036,0.3384,0.0348,0.0738,0.0817,0.0079,284,929,645
000000001000.jpg,paprika,0.4033,0.4123,0.009,0.059,0.0739,0.0149,561,967,406
000000001000.jpg,shinkai,0.0476,0.0796,0.032,0.023,0.0427,0.0197,217,801,584
000000001268.jpg,hayao,0.209,0.3048,0.0958,0.0402,0.0425,0.0023,239,730,491
000000001268.jpg,paprika,0.2062,0.279,0.0728,0.0307,0.0334,0.0027,503,774,271
000000001268.jpg,shinkai,0.0313,0.0606,0.0293,0.0175,0.0256,0.0081,231,616,385
000000001296.jpg,hayao,0.2403,0.2529,0.0126,0.0395,0.0478,0.0083,255,827,572
000000001296.jpg,paprika,0.2149,0.215,0.0001,0.0271,0.0397,0.0126,551,849,298
000000001296.jpg,shinkai,0.1184,0.1199,0.0015,0.0172,0.0306,0.0134,190,698,508
000000001353.jpg,hayao,0.3755,0.3767,0.0012,0.0257,0.0363,0.0106,196,479,283
000000001353.jpg,paprika,0.3216,0.3498,0.0282,0.0188,0.0304,0.0116,303,574,271
000000001353.jpg,shinkai,0.1536,0.1302,-0.0234,0.0135,0.0261,0.0126,240,638,398
000000001425.jpg,hayao,0.4523,0.5177,0.0654,0.0307,0.0338,0.0031,386,716,330
000000001425.jpg,paprika,0.2733,0.2789,0.0056,0.0242,0.0269,0.0027,619,884,265
000000001425.jpg,shinkai,0.1295,0.1513,0.0218,0.0102,0.0178,0.0076,229,705,476
000000001490.jpg,hayao,0.0627,0.0747,0.012,0.0586,0.0598,0.0012,218,462,244
000000001490.jpg,paprika,0.0546,0.0778,0.0232,0.0432,0.049,0.0058,296,668,372
000000001490.jpg,shinkai,0.0026,0.0048,0.0022,0.0161,0.0246,0.0085,238,617,379
000000001503.jpg,hayao,0.4909,0.5543,0.0634,0.0565,0.0555,-0.001,159,201,42
000000001503.jpg,paprika,0.4737,0.4983,0.0246,0.042,0.0416,-0.0004,347,256,-91
000000001503.jpg,shinkai,0.0481,0.0726,0.0245,0.0198,0.0285,0.0087,108,188,80
000000001532.jpg,hayao,0.5428,0.5409,-0.0019,0.0561,0.0603,0.0042,369,822,453
000000001532.jpg,paprika,0.5941,0.5771,-0.017,0.0413,0.0464,0.0051,556,875,319
000000001532.jpg,shinkai,0.0724,0.0876,0.0152,0.014,0.0233,0.0093,209,776,567
000000001584.jpg,hayao,0.4417,0.4903,0.0486,0.0401,0.0506,0.0105,349,1113,764
000000001584.jpg,paprika,0.4478,0.4338,-0.014,0.029,0.0423,0.0133,746,1141,395
000000001584.jpg,shinkai,0.101,0.1083,0.0073,0.0212,0.0344,0.0132,240,916,676
000000001675.jpg,hayao,0.562,0.6029,0.0409,0.0549,0.0568,0.0019,289,818,529
000000001675.jpg,paprika,0.5102,0.5374,0.0272,0.037,0.0401,0.0031,557,884,327
000000001675.jpg,shinkai,0.105,0.1176,0.0126,0.0184,0.0255,0.0071,222,733,511
000000001761.jpg,hayao,0.371,0.3637,-0.0073,0.0454,0.0464,0.001,254,736,482
000000001761.jpg,paprika,0.3086,0.3135,0.0049,0.0314,0.0333,0.0019,537,791,254
000000001761.jpg,shinkai,0.1219,0.1416,0.0197,0.0118,0.0182,0.0064,201,678,477
000000001818.jpg,hayao,0.2153,0.2737,0.0584,0.0724,0.0785,0.0061,247,676,429
000000001818.jpg,paprika,0.257,0.3208,0.0638,0.0635,0.0693,0.0058,519,762,243
000000001818.jpg,shinkai,0.033,0.0532,0.0202,0.0263,0.035,0.0087,253,591,338
000000001993.jpg,hayao,0.3115,0.3496,0.0381,0.0474,0.0494,0.002,260,739,479
000000001993.jpg,paprika,0.2912,0.2932,0.002,0.035,0.0398,0.0048,500,781,281
000000001993.jpg,shinkai,0.0492,0.0685,0.0193,0.0167,0.026,0.0093,185,695,510
000000002006.jpg,hayao,0.427,0.4907,0.0637,0.0696,0.0705,0.0009,279,828,549
000000002006.jpg,paprika,0.4503,0.4792,0.0289,0.0524,0.0556,0.0032,571,937,366
000000002006.jpg,shinkai,0.0296,0.0391,0.0095,0.0233,0.0341,0.0108,212,721,509
000000002149.jpg,hayao,0.3144,0.2306,-0.0838,0.0141,0.0202,0.0061,234,776,542
000000002149.jpg,paprika,0.2177,0.2112,-0.0065,0.011,0.0187,0.0077,510,826,316
000000002149.jpg,shinkai,0.1417,0.0975,-0.0442,0.0086,0.0201,0.0115,180,686,506
000000002153.jpg,hayao,0.397,0.4737,0.0767,0.0654,0.0648,-0.0006,280,894,614
000000002153.jpg,paprika,0.354,0.4807,0.1267,0.0474,0.047,-0.0004,549,949,400
000000002153.jpg,shinkai,0.0614,0.0889,0.0275,0.0194,0.0382,0.0188,209,826,617
000000002157.jpg,hayao,0.1876,0.2119,0.0243,0.0455,0.0527,0.0072,240,740,500
000000002157.jpg,paprika,0.2037,0.2217,0.018,0.0345,0.0482,0.0137,512,777,265
000000002157.jpg,shinkai,0.0776,0.0885,0.0109,0.0206,0.0356,0.015,184,672,488
000000002261.jpg,hayao,0.1613,0.184,0.0227,0.0433,0.047,0.0037,237,786,549
000000002261.jpg,paprika,0.1843,0.2141,0.0298,0.037,0.0407,0.0037,537,778,241
000000002261.jpg,shinkai,0.0408,0.0915,0.0507,0.0149,0.0341,0.0192,180,668,488
000000002299.jpg,hayao,0.1671,0.2099,0.0428,0.0766,0.0843,0.0077,165,330,165
000000002299.jpg,paprika,0.1903,0.2349,0.0446,0.0676,0.0755,0.0079,247,420,173
000000002299.jpg,shinkai,0.0144,0.025,0.0106,0.0289,0.0375,0.0086,184,337,153
000000002431.jpg,hayao,0.4638,0.4661,0.0023,0.0366,0.0433,0.0067,270,829,559
000000002431.jpg,paprika,0.349,0.3412,-0.0078,0.0239,0.0334,0.0095,599,909,310
000000002431.jpg,shinkai,0.1736,0.1794,0.0058,0.0171,0.0273,0.0102,201,722,521
000000002473.jpg,hayao,0.2048,0.2195,0.0147,0.0418,0.0389,-0.0029,236,727,491
000000002473.jpg,paprika,0.1406,0.163,0.0224,0.0203,0.0216,0.0013,508,809,301
000000002473.jpg,shinkai,0.0466,0.072,0.0254,0.0097,0.0158,0.0061,178,696,518
