style_id,trial_index,score,edge_gain,artifact_gain,latency_penalty_s,baseline_edge_ssim_mean,candidate_edge_ssim_mean,baseline_artifact_mean,candidate_artifact_mean,baseline_latency_ms_mean,candidate_latency_ms_mean,resize_max,denoise_strength,edge_weight,color_quant_k,contrast_gain,sharpen_amount,saturation_gain
hayao,1,-0.174265,0.018437,-0.01663,0.312541,0.323277,0.341713,0.048697,0.065327,209.36,521.9,1024,0.25,0.2,24,1.06,0.2,1.08
hayao,2,-0.129507,0.023307,-0.00503,0.33675,0.323277,0.346583,0.048697,0.053727,209.36,546.11,1024,0.28,0.06,24,1.0,0.06,1.03
hayao,3,-0.152045,0.02058,-0.00401,0.410464,0.323277,0.343857,0.048697,0.052707,209.36,619.82,1024,0.28,0.18,32,1.0,0.06,1.0
hayao,4,-0.174541,0.027897,-0.006707,0.450243,0.323277,0.351173,0.048697,0.055403,209.36,659.6,1024,0.28,0.06,36,1.0,0.1,1.03
hayao,5,-0.137486,0.024117,-0.009297,0.30695,0.323277,0.347393,0.048697,0.057993,209.36,516.31,1024,0.28,0.1,24,1.04,0.1,1.0
hayao,6,-0.13993,0.025177,-0.001657,0.411344,0.323277,0.348453,0.048697,0.050353,209.36,620.7,1024,0.32,0.18,32,1.02,0.0,1.0
hayao,7,-0.161458,0.030893,-0.003643,0.455227,0.323277,0.35417,0.048697,0.05234,209.36,664.59,1024,0.36,0.18,36,1.02,0.06,1.06
hayao,8,-0.168235,0.027003,-0.004343,0.460788,0.323277,0.35028,0.048697,0.05304,209.36,670.15,1024,0.28,0.06,36,1.04,0.0,1.0
hayao,9,-0.157014,0.028653,-0.001807,0.462739,0.323277,0.35193,0.048697,0.050503,209.36,672.1,1024,0.32,0.14,36,1.02,0.0,1.06
hayao,10,-0.108816,0.028853,-0.003467,0.30442,0.323277,0.35213,0.048697,0.052163,209.36,513.78,1024,0.32,0.1,24,1.04,0.0,1.0
hayao,11,-0.110776,0.030017,-0.004357,0.300326,0.323277,0.353293,0.048697,0.053053,209.36,509.69,1024,0.36,0.14,24,1.02,0.06,1.03
hayao,12,-0.147169,0.02111,-0.002423,0.417158,0.323277,0.344387,0.048697,0.05112,209.36,626.52,1024,0.24,0.1,32,1.0,0.0,1.06
hayao,13,-0.165332,0.021857,-0.007077,0.411515,0.323277,0.345133,0.048697,0.055773,209.36,620.88,1024,0.24,0.14,32,1.04,0.06,1.0
hayao,14,-0.149976,0.026327,-0.004517,0.405569,0.323277,0.349603,0.048697,0.053213,209.36,614.93,1024,0.28,0.06,32,1.04,0.0,1.03
hayao,15,-0.143009,0.03204,-0.003947,0.400176,0.323277,0.355317,0.048697,0.052643,209.36,609.54,1024,0.36,0.14,32,1.02,0.06,1.03
hayao,16,-0.118934,0.016127,-0.00359,0.315414,0.323277,0.339403,0.048697,0.052287,209.36,524.78,1024,0.24,0.18,24,1.02,0.0,1.0
hayao,17,-0.127691,0.024787,-0.00353,0.352323,0.323277,0.348063,0.048697,0.052227,209.36,561.68,1024,0.28,0.06,28,1.02,0.0,1.06
hayao,18,-0.116205,0.01991,-0.004393,0.302384,0.323277,0.343187,0.048697,0.05309,209.36,511.74,1024,0.28,0.18,24,1.04,0.0,1.06
hayao,19,-0.120736,0.029003,-0.002713,0.34814,0.323277,0.35228,0.048697,0.05141,209.36,557.5,1024,0.36,0.18,28,1.0,0.06,1.06
hayao,20,-0.107236,0.02766,-0.002707,0.307924,0.323277,0.350937,0.048697,0.051403,209.36,517.28,1024,0.36,0.18,24,1.04,0.0,1.0
hayao,21,-0.132718,0.033803,-0.0051,0.358542,0.323277,0.35708,0.048697,0.053797,209.36,567.9,1024,0.36,0.1,28,1.0,0.1,1.06
hayao,22,-0.151502,0.027067,-0.005183,0.402501,0.323277,0.350343,0.048697,0.05388,209.36,611.86,1024,0.32,0.18,32,1.0,0.1,1.03
hayao,23,-0.157309,0.023523,-0.00162,0.459332,0.323277,0.3468,0.048697,0.050317,209.36,668.69,1024,0.28,0.14,36,1.0,0.0,1.03
hayao,24,-0.111469,0.027527,-0.003533,0.309454,0.323277,0.350803,0.048697,0.05223,209.36,518.82,1024,0.32,0.1,24,1.04,0.0,1.03
hayao,25,-0.126522,0.02947,-0.007383,0.306563,0.323277,0.352747,0.048697,0.05608,209.36,515.92,1024,0.32,0.06,24,1.02,0.1,1.03
shinkai,1,-0.215485,0.019987,-0.02124,0.374351,0.078283,0.09827,0.017573,0.038813,179.83,554.18,1024,0.22,0.18,28,1.1,0.18,1.12
shinkai,2,-0.20063,0.01368,-0.008903,0.47889,0.078283,0.091963,0.017573,0.026477,179.83,658.72,1024,0.32,0.1,36,1.0,0.0,1.06
shinkai,3,-0.20769,0.010627,-0.010557,0.474352,0.078283,0.08891,0.017573,0.02813,179.83,654.18,1024,0.24,0.1,36,1.0,0.06,1.03
shinkai,4,-0.198082,0.014483,-0.015643,0.387912,0.078283,0.092767,0.017573,0.033217,179.83,567.74,1024,0.24,0.18,28,1.04,0.1,1.06
shinkai,5,-0.183418,0.01298,-0.012883,0.378778,0.078283,0.091263,0.017573,0.030457,179.83,558.61,1024,0.28,0.18,28,1.04,0.0,1.0
shinkai,6,-0.16968,0.014797,-0.00943,0.385276,0.078283,0.09308,0.017573,0.027003,179.83,565.11,1024,0.36,0.1,28,1.0,0.0,1.0
shinkai,7,-0.190735,0.013787,-0.01045,0.431313,0.078283,0.09207,0.017573,0.028023,179.83,611.14,1024,0.24,0.06,32,1.0,0.06,1.03
shinkai,8,-0.192879,0.012157,-0.01192,0.416861,0.078283,0.09044,0.017573,0.029493,179.83,596.69,1024,0.24,0.14,32,1.04,0.0,1.0
shinkai,9,-0.21441,0.01568,-0.011963,0.482362,0.078283,0.093963,0.017573,0.029537,179.83,662.19,1024,0.36,0.18,36,1.0,0.1,1.06
shinkai,10,-0.171341,0.01644,-0.010137,0.38325,0.078283,0.094723,0.017573,0.02771,179.83,563.08,1024,0.36,0.1,28,1.02,0.0,1.0
shinkai,11,-0.205612,0.015483,-0.011103,0.467785,0.078283,0.093767,0.017573,0.028677,179.83,647.61,1024,0.36,0.18,36,1.04,0.0,1.03
shinkai,12,-0.157522,0.013033,-0.01125,0.325391,0.078283,0.091317,0.017573,0.028823,179.83,505.22,1024,0.32,0.18,24,1.0,0.0,1.06
shinkai,13,-0.1747,0.013327,-0.01143,0.372586,0.078283,0.09161,0.017573,0.029003,179.83,552.42,1024,0.32,0.18,28,1.02,0.0,1.06
shinkai,14,-0.184149,0.014297,-0.01387,0.370155,0.078283,0.09258,0.017573,0.031443,179.83,549.99,1024,0.28,0.18,28,1.0,0.1,1.03
shinkai,15,-0.183155,0.01294,-0.0124,0.38405,0.078283,0.091223,0.017573,0.029973,179.83,563.88,1024,0.24,0.14,28,1.04,0.0,1.0
shinkai,16,-0.172027,0.0185,-0.01481,0.329108,0.078283,0.096783,0.017573,0.032383,179.83,508.94,1024,0.28,0.1,24,1.04,0.1,1.0
shinkai,17,-0.198465,0.010653,-0.011737,0.433193,0.078283,0.088937,0.017573,0.02931,179.83,613.02,1024,0.28,0.18,32,1.02,0.0,1.03
shinkai,18,-0.212701,0.015337,-0.011233,0.486217,0.078283,0.09362,0.017573,0.028807,179.83,666.05,1024,0.28,0.06,36,1.0,0.1,1.0
shinkai,19,-0.199944,0.017543,-0.012567,0.435843,0.078283,0.095827,0.017573,0.03014,179.83,615.67,1024,0.36,0.14,32,1.02,0.1,1.06
shinkai,20,-0.162686,0.022227,-0.01272,0.333487,0.078283,0.10051,0.017573,0.030293,179.83,513.32,1024,0.36,0.06,24,1.02,0.1,1.06
shinkai,21,-0.15437,0.017603,-0.01127,0.32201,0.078283,0.095887,0.017573,0.028843,179.83,501.84,1024,0.36,0.1,24,1.04,0.0,1.06
shinkai,22,-0.209853,0.015923,-0.010963,0.482228,0.078283,0.094207,0.017573,0.028537,179.83,662.06,1024,0.36,0.1,36,1.0,0.1,1.06
shinkai,23,-0.211403,0.016047,-0.011243,0.483296,0.078283,0.09433,0.017573,0.028817,179.83,663.13,1024,0.28,0.06,36,1.0,0.1,1.03
shinkai,24,-0.18219,0.014107,-0.012927,0.376175,0.078283,0.09239,0.017573,0.0305,179.83,556.0,1024,0.24,0.1,28,1.0,0.1,1.03
shinkai,25,-0.17714,0.013647,-0.01552,0.328551,0.078283,0.09193,0.017573,0.033093,179.83,508.38,1024,0.24,0.18,24,1.02,0.1,1.03
paprika,1,-0.148557,0.003963,-0.01771,0.206906,0.30978,0.313743,0.037257,0.054967,918.92,1125.83,1024,0.3,0.24,20,1.04,0.24,1.06
paprika,2,-0.143243,0.016263,-0.007297,0.338446,0.30978,0.326043,0.037257,0.044553,918.92,1257.37,1024,0.36,0.18,28,1.0,0.1,1.03
paprika,3,-0.291576,0.00122,-0.00583,0.761351,0.30978,0.311,0.037257,0.043087,918.92,1680.28,1024,0.28,0.18,24,1.0,0.0,1.06
paprika,4,-0.311984,0.019183,-0.010023,0.790039,0.30978,0.328963,0.037257,0.04728,918.92,1708.96,1024,0.24,0.06,36,1.02,0.1,1.03
